S. No.,City,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total
1,Ahmedabad (Gujarat),2669,1130,3799,2657,1120,3777,34,5,39,45,13,58,781,306,1087
2,Bengaluru (Karnataka),4021,1330,5351,3726,1179,4905,71,12,83,1,1,2,2023,638,2661
3,Chennai (Tamil Nadu),656,104,760,561,95,656,63,10,73,0,0,0,266,53,319
4,Coimbatore (Tamil Nadu),116,23,139,114,23,137,48,8,56,0,0,0,83,6,89
5,Delhi ,12762,811,13573,11842,1121,12963,1576,46,1622,273,33,306,2136,58,2194
6,Ghaziabad (Uttar Pradesh),713,3,716,878,82,960,0,0,0,0,0,0,0,0,0
7,Hyderabad (Telangana),894,60,954,3163,522,3685,196,18,214,0,0,0,590,121,711
8,Indore (Madhya Pradesh),1398,188,1586,1984,510,2494,139,20,159,0,0,0,453,33,486
9,Jaipur (Rajasthan),1743,85,1828,1913,111,2024,121,9,130,367,4,371,222,31,253
10,Kanpur (Uttar Pradesh),2194,47,2241,1556,20,1576,1014,20,1034,0,0,0,803,24,827
11,Kochi (Kerala),451,16,467,398,15,413,30,1,31,0,0,0,138,5,143
12,Kolkata (West Bengal),1410,348,1758,1976,32,2008,58,3,61,0,0,0,97,1,98
13,Kozhikode (Kerala),456,79,535,414,75,489,22,0,22,1,0,1,157,10,167
14,Lucknow (Uttar Pradesh),1301,0,1301,6791,0,6791,219,42,261,47,0,47,0,0,0
15,Mumbai (Maharashtra),7122,1003,8125,5254,670,5924,368,29,397,35,11,46,994,118,1112
16,Nagpur (Maharashtra),995,273,1268,876,238,1114,40,0,40,0,0,0,459,116,575
17,Patna (Bihar),1265,20,1285,734,0,734,26,0,26,0,0,0,702,0,702
18,Pune (Maharashtra),1773,582,2355,1829,471,2300,66,1,67,8,1,9,589,102,691
19,Surat (Gujarat),1690,733,2423,1689,733,2422,1,0,1,0,0,0,13,8,21
TOTAL CITIES,TOTAL CITIES,43629,6835,50464,48355,7017,55372,4092,224,4316,777,63,840,10506,1630,12136
