Category,State/UT ,Cases Reported ,Child Victims of Rape (Below 18 Yrs) - Below 6 Years,Child Victims of Rape (Below 18 Yrs) - 6 Years & Above-Below 12 Years,Child Victims of Rape (Below 18 Yrs) - 12 Years & Above-Below 16 Years,Child Victims of Rape (Below 18 Yrs) - 16 Years & Above-Below 18 Years,Child Victims of Rape (Below 18 Yrs) - Total Girls /Child Victims,Women Victims of Rape (Above 18 Yrs) - 18 Years & Abov-Below 30 Years,Women Victims of Rape (Above 18 Yrs) - 30 Years & Above-Below 45 Years,Women Victims of Rape (Above 18 Yrs) - 45 Years & Above-Below 60 Years,Women Victims of Rape (Above 18 Yrs) - 60 Years & Above,Women Victims of Rape (Above 18 Yrs) - Total Women / Adult Victims,Total Victims
State,Andhra Pradesh ,1086,16,38,184,323,561,431,89,21,2,543,1104
State,Arunachal Pradesh,63,1,2,13,9,25,26,12,1,0,39,64
State,Assam ,1773,0,7,50,31,88,1231,376,96,0,1703,1791
State,Bihar ,730,0,0,0,1,1,558,159,22,0,739,740
State,Chhattisgarh ,1036,0,0,3,0,3,683,312,32,8,1035,1038
State,Goa ,72,2,5,28,15,50,17,3,3,1,24,74
State,Gujarat ,528,0,0,0,0,0,379,129,20,1,529,529
State,Haryana ,1480,0,0,0,8,8,964,450,55,3,1472,1480
State,Himachal Pradesh,359,8,25,79,86,198,114,43,6,0,163,361
State,Jammu & Kashmir,223,0,0,9,2,11,137,62,13,0,212,223
State,Jharkhand ,1416,0,2,19,167,188,909,304,25,0,1238,1426
State,Karnataka ,505,0,0,0,0,0,363,133,10,2,508,508
State,Kerala ,2023,45,160,373,693,1271,429,280,49,15,773,2044
State,Madhya Pradesh,2485,0,0,0,0,0,1836,572,74,8,2490,2490
State,Maharashtra ,2299,0,0,0,0,0,1549,695,59,2,2305,2305
State,Manipur ,36,0,0,6,4,10,22,2,1,1,26,36
State,Meghalaya* ,102,1,3,9,7,20,59,19,3,1,82,102
State,Mizoram ,42,2,13,6,3,24,9,8,1,1,19,43
State,Nagaland ,8,0,2,0,0,2,6,0,0,0,6,8
State,Odisha ,1382,1,0,40,190,231,1091,53,6,2,1152,1383
State,Punjab ,1002,14,37,178,201,430,419,148,9,2,578,1008
State,Rajasthan ,5997,15,70,462,767,1314,3263,1272,200,2,4737,6051
State,Sikkim ,11,0,0,0,0,0,6,2,2,1,11,11
State,Tamil Nadu ,362,1,6,2,0,9,267,74,8,4,353,362
State,Telangana ,873,0,0,0,0,0,633,212,27,1,873,873
State,Tripura ,88,0,0,0,0,0,63,20,5,0,88,88
State,Uttar Pradesh,3065,29,41,113,89,272,2210,581,65,3,2859,3131
State,Uttarakhand ,526,5,6,39,134,184,249,80,12,1,342,526
State,West Bengal ,1069,0,0,1,3,4,736,310,18,1,1065,1069
State,TOTAL STATE(S),30641,140,417,1614,2733,4904,18659,6400,843,62,25964,30868
UT,A & N Islands,13,0,2,3,3,8,5,0,0,0,5,13
UT,Chandigarh ,112,4,9,31,21,65,29,18,0,0,47,112
UT,D & N Haveli ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu ,4,0,0,0,0,0,2,2,0,0,4,4
UT,Delhi UT ,1253,0,0,0,0,0,948,296,8,1,1253,1253
UT,Lakshadweep ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry ,10,0,0,0,0,0,10,0,0,0,10,10
UT,TOTAL UT(S) ,1392,4,11,34,24,73,994,316,8,1,1319,1392
TOTAL (ALL INDIA),TOTAL (ALL INDIA),32033,144,428,1648,2757,4977,19653,6716,851,63,27283,32260
Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,NA,0.4,1.3,5.1,8.5,15.4,60.9,20.8,2.6,0.2,84.6,100
