Category (Col. 1),State/UT (Col. 2),Cases Pending Trial from the Previous Year (Col. 3),Cases Sent for Trial during the year (Col. 4),Total Cases for Trial (Col. 5) = (Col.3+Col.4),Cases Abated by Court (Col. 6),Cases Withdrawn From Prosecution (Col. 7),Cases Compounded or Compromised (Col. 8),Cases Disposed off by Plea Bargaining (Col. 9),Cases Quashed (Col. 10),Cases Disposed off Without Trial (Col. 11) = (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room (Col. 12),Cases Convicted Out of Cases from Previous Year (Col. 13),Cases Convicted Out of Cases during the Year (Col. 14),Cases Convicted (Col. 15) = (Col.13+Col.14),Cases Discharged (Col. 16),Cases Acquitted (Col. 17),Cases in which Trials were Completed (Col. 18) = (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col. 19) = (Col.11+Col.18),Cases Pending Trial at End of the Year (Col. 20) = (Col.5 - Col.19),Conviction Rate (Col. 21) = (Col.15/Col.18) *100,Pendency Percentage (Col. 22) = (Col.20/Col.5) *100
State,Andhra Pradesh,34253,14797,49050,51,5,4032,0,6,4094,14,589,19,608,283,6572,7463,11557,37493,8.1,76.4
State,Arunachal Pradesh,2358,164,2522,0,0,0,0,0,0,23,5,1,6,6,4,16,16,2506,37.5,99.4
State,Assam,56239,16880,73119,0,0,101,0,0,101,0,168,120,288,234,5975,6497,6598,66521,4.4,91
State,Bihar,74099,10859,84958,0,0,387,0,0,387,0,393,70,463,51,2379,2893,3280,81678,16,96.1
State,Chhattisgarh,23317,6362,29679,11,0,1,14,1,27,19,1418,204,1622,368,3031,5021,5048,24631,32.3,83
State,Goa,1438,270,1708,1,0,11,0,0,12,0,10,1,11,16,106,133,145,1563,8.3,91.5
State,Gujarat,81138,8103,89241,10,1,46,1,4,62,14,208,9,217,59,3372,3648,3710,85531,5.9,95.8
State,Haryana,20576,8263,28839,0,0,0,0,5,5,0,824,44,868,0,4510,5378,5383,23456,16.1,81.3
State,Himachal Pradesh,6509,1245,7754,0,68,21,0,22,111,4,87,3,90,3,377,470,581,7173,19.1,92.5
State,Jammu & Kashmir,12518,2168,14686,4,1,279,0,0,284,0,40,6,46,13,1294,1353,1637,13049,3.4,88.9
State,Jharkhand,16667,5326,21993,2,52,89,0,0,143,7,588,500,1088,62,1283,2433,2576,19417,44.7,88.3
State,Karnataka,54224,10855,65079,112,53,520,0,184,869,60,331,32,363,687,6565,7615,8484,56595,4.8,87
State,Kerala,60615,9958,70573,43,0,82,0,274,399,130,516,44,560,45,3575,4180,4579,65994,13.4,93.5
State,Madhya Pradesh,85066,22661,107727,2,2,1998,452,8,2462,36,3521,670,4191,3506,8106,15803,18265,89462,26.5,83
State,Maharashtra,192201,28234,220435,142,32,1628,0,48,1850,12,1406,146,1552,160,9653,11365,13215,207220,13.7,94
State,Manipur,675,139,814,1,0,0,0,0,1,1,29,0,29,4,17,50,51,763,58,93.7
