Category,State/UT ,Persons Arrested,Persons Chargesheeted,Persons Convicted,Persons Acquitted/ discharged by the Court
State,Andhra Pradesh ,825,512,136,455
State,Arunachal Pradesh ,3,0,0,0
State,Assam  ,237,97,1,22
State,Bihar ,195,154,0,0
State,Chhattisgarh ,91,74,5,8
State,Goa ,70,76,1,19
State,Gujarat ,40,40,0,0
State,Haryana ,21,21,0,72
State,Himachal Pradesh ,29,26,3,15
State,Jammu & Kashmir ,0,0,0,2
State,Jharkhand  ,198,141,39,40
State,Karnataka ,115,85,0,0
State,Kerala ,246,147,2,13
State,Madhya Pradesh ,390,382,34,76
State,Maharashtra ,658,407,1,15
State,Manipur ,13,2,0,0
State,Meghalaya ,41,18,0,0
State,Mizoram ,13,9,0,0
State,Nagaland ,10,10,0,0
State,Odisha ,239,0,0,0
State,Punjab ,57,38,0,17
State,Rajasthan ,220,188,0,0
State,Sikkim  ,0,0,0,0
State,Tamil Nadu ,43,22,4,4
State,Telangana ,575,474,70,368
State,Tripura ,1,0,0,0
State,Uttar Pradesh ,204,185,5,0
State,Uttarakhand ,75,69,1,19
State,West Bengal  ,330,341,18,174
State,TOTAL STATE(S) ,4939,3518,320,1319
UT,A & N Islands ,0,0,0,0
UT,Chandigarh ,5,5,0,0
UT,D & N Haveli  ,0,0,0,0
UT,Daman & Diu ,0,3,0,10
UT,Delhi UT ,176,112,4,0
UT,Lakshadweep ,0,0,0,0
UT,Puducherry ,8,0,0,0
UT,TOTAL UT(S) ,189,120,4,10
Grand Total,TOTAL (ALL INDIA) ,5128,3638,324,1329
