Category (Col. 1),State/UT (Col. 2),Cases in which Offenders were known to Victim - Cases Offender known to Victim (Total) (Col. 3),Cases in which Offenders were known to Victim - Family members (Col. 4),Cases in which Offenders were known to Victim - Family Friends/ Neighbours/ Employer or Other Known Persons (Col. 5),Cases in which Offenders were known to Victim - Friends/Online-Friends or Live in Partners on Pretext of Marriage/Seperated Husband (Col. 6),Cases Offenders Unknown or Not Identified (Col. 7),Total Rape Cases (Known+unknown Offenders) (Col. 8),Percentage Share of Known Cases to Total Rape Cases (Col. 9)
State,Andhra Pradesh ,1044,89,562,393,42,1086,96.1
State,Arunachal Pradesh ,56,14,23,19,7,63,88.9
State,Assam ,1563,134,515,914,210,1773,88.2
State,Bihar ,718,62,398,258,12,730,98.4
State,Chhattisgarh ,1003,109,421,473,33,1036,96.8
State,Goa ,71,10,38,23,1,72,98.6
State,Gujarat ,509,43,233,233,19,528,96.4
State,Haryana ,1436,120,323,993,44,1480,97
State,Himachal Pradesh ,351,34,105,212,8,359,97.8
State,Jammu & Kashmir ,184,14,57,113,39,223,82.5
State,Jharkhand ,1334,88,353,893,82,1416,94.2
State,Karnataka ,501,32,188,281,4,505,99.2
State,Kerala ,2010,308,1089,613,13,2023,99.4
State,Madhya Pradesh ,2449,271,991,1187,36,2485,98.6
State,Maharashtra ,2274,180,1205,889,25,2299,98.9
State,Manipur ,36,3,28,5,0,36,100
State,Meghalaya,101,15,11,75,1,102,99
State,Mizoram ,38,4,2,32,4,42,90.5
State,Nagaland ,6,2,0,4,2,8,75
State,Odisha ,1272,0,49,1223,110,1382,92
State,Punjab ,1000,93,377,530,2,1002,99.8
State,Rajasthan ,5288,658,1618,3012,709,5997,88.2
State,Sikkim ,11,2,1,8,0,11,100
State,Tamil Nadu ,361,23,232,106,1,362,99.7
State,Telangana ,868,98,432,338,5,873,99.4
State,Tripura ,83,6,32,45,5,88,94.3
State,Uttar Pradesh ,2874,317,785,1772,191,3065,93.8
State,Uttarakhand ,400,15,150,235,126,526,76
State,West Bengal ,958,24,72,862,111,1069,89.6
State,TOTAL STATE(S) ,28799,2768,10290,15741,1842,30641,94
UT,A & N Islands ,13,1,8,4,0,13,100
UT,Chandigarh ,102,16,49,37,10,112,91.1
UT,D & N Haveli ,0,0,0,0,0,0, -
UT,Daman & Diu ,4,0,3,1,0,4,100
UT,Delhi UT ,1237,129,588,520,16,1253,98.7
UT,Lakshadweep ,0,0,0,0,0,0, -
UT,Puducherry ,10,2,0,8,0,10,100
UT,TOTAL UT(S) ,1366,148,648,570,26,1392,98.1
TOTAL (ALL INDIA) ,TOTAL (ALL INDIA) ,30165,2916,10938,16311,1868,32033,94.2
