Category (Col. 1),State/UT (Col. 2),Cases Pending Investigation from Previous Year (Col. 3),Cases Reported during the year (Col. 4),Cases ReOpened for Investigation (Col. 5),Total Cases for Investigation (Col. 6) = (Col.3+ Col.4+ Col.5),Cases Not Investigated Under 157_1_b CRPC (Col. 7),Cases Transferred to other State or Agency (Col. 8),Cases Withdrawn by the Govt during investigation (Col. 9),Final Report - Cases Ended as FR Non Cognizable (Col. 10),Final Report - Cases Ended as Final Report False (Col. 11),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col. 13),Final Report - Cases Abated during Investigation (Col. 14),Final Report - Total (Col. 15) = (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted - Cases Chargesheeted Out of Cases from Previous Year (Col. 16),Chargesheets submitted - Cases Chargesheeted Out of Cases during the Year (Col. 17),Chargesheets submitted - Cases Chargesheeted (Col. 18) = (Col.16+ Col.17),Total Cases Disposed Off by Police (Col. 19) = (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage (Col. 20),Cases Stayed at Investigation Stage (Col. 21),Cases Pending Investigation at End of the Year (Col. 22) = (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col. 23) = (Col.18/ Col.19) *100,Pendency Percentage (Col. 24) = (Col.22/ Col.6) *100
State,Andhra Pradesh,9881,17746,30,27657,3,29,0,2,762,471,102,32,1369,5789,9008,14797,16198,59,10,11400,91.4,41.2
State,Arunachal Pradesh,275,317,0,592,0,1,0,0,1,22,39,1,63,56,108,164,228,0,0,364,71.9,61.5
State,Assam,26663,30025,0,56688,0,6,0,15,1371,3430,7345,443,12604,4923,11957,16880,29490,0,0,27198,57.2,48
State,Bihar,9854,18587,0,28441,0,0,0,30,725,2813,607,0,4175,3770,7089,10859,15034,0,0,13407,72.2,47.1
State,Chhattisgarh,1925,7689,0,9614,0,0,0,2,1150,33,124,0,1309,812,5550,6362,7671,3,0,1940,82.9,20.2
State,Goa,139,329,0,468,0,1,0,0,0,45,40,0,85,85,185,270,356,0,0,112,75.8,23.9
State,Gujarat,807,8799,6,9612,0,3,4,0,25,181,265,11,482,403,7700,8103,8588,83,122,937,94.4,9.7
State,Haryana,2484,14683,1,17168,0,0,0,0,5463,0,549,0,6012,1283,6980,8263,14275,0,1,2893,57.9,16.9
State,Himachal Pradesh,442,1636,0,2078,0,1,0,2,334,60,38,12,446,289,956,1245,1692,2,0,384,73.6,18.5
State,Jammu & Kashmir,1732,3069,4,4805,0,0,0,0,981,2,64,0,1047,460,1708,2168,3215,1,64,1589,67.4,33.1
State,Jharkhand,7531,8760,0,16291,0,0,0,58,241,744,699,66,1808,2005,3321,5326,7134,0,0,9157,74.7,56.2
State,Karnataka,4629,13828,23,18480,1,185,1,0,1421,459,74,4,1958,2819,8036,10855,12999,5,26,5475,83.5,29.6
State,Kerala,4997,11462,23,16482,0,22,0,0,350,174,171,12,707,3460,6498,9958,10687,58,8,5737,93.2,34.8
State,Madhya Pradesh,4109,27560,0,31669,0,1,0,84,2164,398,1363,0,4009,1064,21597,22661,26671,6,0,4992,85,15.8
State,Maharashtra,24915,37144,3,62062,1,179,1,201,589,4535,973,70,6368,11193,17041,28234,34782,63,18,27216,81.2,43.9
