S. No. ,State/UT ,Forced Labour,Sexual Exploitation for Prostitution,Other forms of Sexual Exploitation,Domestic Servitude,Forced Marriage,Petty Crimes,Child Pornography,Begging,Drug Peddling,Removal of Organs,Other reasons,Total Persons
State,Andhra Pradesh ,1,316,0,31,14,0,0,0,0,0,63,425
State,Arunachal Pradesh ,0,0,0,0,1,0,0,0,0,0,2,3
State,Assam  ,0,20,0,20,65,0,0,0,0,0,125,230
State,Bihar ,180,50,0,59,0,0,0,0,0,0,27,316
State,Chhattisgarh ,71,4,0,12,1,0,0,1,0,0,248,337
State,Goa ,0,89,0,0,0,0,0,0,0,0,1,90
State,Gujarat ,1,11,0,0,1,0,0,0,0,0,5,18
State,Haryana ,1,11,0,0,3,0,0,0,0,0,5,20
State,Himachal Pradesh ,0,6,0,0,0,1,0,0,0,0,9,16
State,Jammu & Kashmir ,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,72,5,0,59,7,0,0,17,0,0,3,163
State,Karnataka ,59,35,0,1,1,0,0,0,0,0,90,186
State,Kerala ,9,10,0,4,42,2,0,2,0,0,146,215
State,Madhya Pradesh ,15,28,0,0,23,1,0,41,0,0,109,217
State,Maharashtra ,15,946,0,0,13,7,0,0,0,0,39,1020
State,Manipur ,69,0,0,119,0,0,0,0,0,0,0,188
State,Meghalaya ,0,12,0,0,1,1,0,0,0,0,15,29
State,Mizoram ,54,0,0,0,0,0,0,0,0,0,0,54
State,Nagaland ,0,19,0,0,1,0,0,0,0,0,0,20
State,Odisha ,0,0,0,0,0,0,0,0,0,0,876,876
State,Punjab ,7,8,0,0,1,0,0,0,0,0,11,27
State,Rajasthan ,10,7,0,0,5,0,0,0,0,0,642,664
State,Sikkim ,0,2,0,0,0,0,0,0,0,0,0,2
State,Tamil Nadu ,70,1,0,0,0,0,0,1,0,0,4,76
State,Telangana ,0,322,0,0,0,0,0,0,0,0,12,334
State,Tripura ,0,1,0,0,2,0,0,0,0,0,0,3
State,Uttar Pradesh ,0,73,0,0,24,0,0,0,0,0,40,137
State,Uttarakhand ,0,21,0,0,2,0,0,4,0,0,9,36
State,West Bengal ,0,68,0,0,15,1,0,1,0,0,169,254
State,TOTAL STATE(S) ,634,2065,0,305,222,13,0,67,0,0,2650,5956
UT,A & N Islands ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh ,0,1,0,0,1,0,0,0,0,0,0,2
UT,D & N Haveli ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Daman & Diu ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi UT ,507,9,0,59,4,0,0,1,0,4,24,608
UT,Lakshadweep ,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry ,0,5,0,0,0,0,0,0,0,0,0,5
UT,TOTAL UT(S) ,507,15,0,59,5,0,0,1,0,4,24,615
Grand Total,TOTAL (ALL INDIA) ,1141,2080,0,364,227,13,0,68,0,4,2674,6571
