Si. No (Col. 1),Category ,State/UT (Col. 2),Cases Pending Trial from the Previous Year - (Col. 3),Cases Sent for Trial during the year - (Col. 4),Total Cases for Trial (Col.3+Col.4) - (Col. 5),Cases Abated by Court - (Col. 6),Cases Withdrawn from Prosecution - (Col. 7),Cases Compounded or Compromised - (Col. 8),Cases Disposed off by Plea Bargaining - (Col. 9),Cases Quashed - (Col. 10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - (Col. 11),Cases Stayed or Sent to Record Room - (Col. 12),Cases Convicted Out of Cases from Previous Year - (Col. 13),Cases Convicted Out of Cases during the Year - (Col. 14),Cases Convicted (Col.13+Col.14) - (Col. 15),Cases Discharged - (Col. 16),Cases Acquitted - (Col. 17),Cases which Trials were Completed (Col.15+Col.16+ Col.17) - (Col. 18),Cases Disposed off by Courts (Col.11+Col.18) - (Col. 19),Cases Pending Trial at End of the Year (Col.5-Col.19) - (Col. 20),Conviction Rate (Col.15/ Col.18)*100 - (Col. 21),Pendency Percentage (Col.20/Col.5)*100 - (Col. 22)
1,State,Andhra Pradesh,37493,13106,50599,38,1,2721,0,6,2766,8,253,26,279,217,3871,4367,7133,43466,6.4,85.9
2,State,Arunachal Pradesh,2506,227,2733,0,0,0,0,0,0,10,1,0,1,2,1,4,4,2729,25,99.9
3,State,Assam,66521,16314,82835,0,5,39,0,0,44,0,68,72,140,21,4068,4229,4273,78562,3.3,94.8
4,State,Bihar,81678,9787,91465,0,0,133,0,0,133,0,165,9,174,0,222,396,529,90936,43.9,99.4
5,State,Chhattisgarh,24631,6288,30919,2,0,32,2,7,43,0,740,130,870,189,1261,2320,2363,28556,37.5,92.4
6,State,Goa,1563,176,1739,0,0,0,0,0,0,0,11,0,11,6,58,75,75,1664,14.7,95.7
7,State,Gujarat,85531,7522,93053,4,1,88,0,7,100,14,54,5,59,4,1158,1221,1321,91732,4.8,98.6
8,State,Haryana,23456,7662,31118,0,0,0,0,2,2,0,164,4,168,1,876,1045,1047,30071,16.1,96.6
9,State,Himachal Pradesh,7173,1261,8434,1,28,6,0,18,53,0,48,1,49,0,196,245,298,8136,20,96.5
10,State,Jharkhand,19416,5704,25120,1,2,16,0,0,19,0,443,549,992,49,903,1944,1963,23157,51,92.2
11,State,Karnataka,56595,10354,66949,33,0,266,0,35,334,8,160,3,163,265,3331,3759,4093,62856,4.3,93.9
12,State,Kerala,65908,9497,75405,118,0,438,1,164,721,90,1319,48,1367,224,5551,7142,7863,67542,19.1,89.6
13,State,Madhya Pradesh,89462,22141,111603,2,0,1013,340,1,1356,17,1741,276,2017,971,3092,6080,7436,104167,33.2,93.3
14,State,Maharashtra,207203,27104,234307,46,8,628,0,16,698,6,634,34,668,44,3655,4367,5065,229242,15.3,97.8
15,State,Manipur,763,110,873,1,0,0,0,0,1,0,2,0,2,0,7,9,10,863,22.2,98.9
16,State,Meghalaya,2238,377,2615,13,1,6,0,0,20,0,53,10,63,25,40,128,148,2467,49.2,94.3
17,State,Mizoram,624,167,791,2,0,0,0,0,2,0,56,16,72,2,21,95,97,694,75.8,87.7
18,State,Nagaland,181,25,206,0,0,1,0,0,1,0,10,3,13,2,1,16,17,189,81.3,91.7
19,State,Odisha,114155,22729,136884,0,0,0,0,0,0,0,144,0,144,0,1427,1571,1571,135313,9.2,98.9
20,State,Punjab,8693,3518,12211,0,0,0,0,31,31,0,186,8,194,14,566,774,805,11406,25.1,93.4
21,State,Rajasthan,83860,18311,102171,17,28,248,389,16,698,7,3289,491,3780,1048,3137,7965,8663,93508,47.5,91.5
22,State,Sikkim,277,106,383,0,0,0,1,0,1,2,11,0,11,3,15,29,30,353,37.9,92.2
23,State,Tamil Nadu,19713,4838,24551,25,82,3,0,47,157,3,334,58,392,58,1376,1826,1983,22568,21.5,91.9
24,State,Telangana,39620,17124,56744,27,0,3636,0,16,3679,197,680,121,801,0,2329,3130,6809,49935,25.6,88
25,State,Tripura,4115,794,4909,0,0,23,0,0,23,0,34,0,34,0,150,184,207,4702,18.5,95.8
26,State,Uttar Pradesh,184437,41109,225546,5,5,160,18,0,188,12,7848,538,8386,640,4728,13754,13942,211604,61,93.8
27,State,Uttarakhand,6836,2037,8873,8,0,0,0,0,8,9,62,37,99,3,135,237,245,8628,41.8,97.2
28,State,West Bengal,275741,31354,307095,0,0,84,0,1,85,0,59,14,73,134,3443,3650,3735,303360,2,98.8
Total State(s),Total State(s),Total State(s),1510389,279742,1790131,343,161,9541,751,367,11163,383,18569,2453,21022,3922,45618,70562,81725,1708406,29.8,95.4
29,Union Territories,A & N Islands,837,149,986,0,0,0,0,0,0,0,14,1,15,7,36,58,58,928,25.9,94.1
30,Union Territories,Chandigarh,752,197,949,3,0,0,0,23,26,0,11,0,11,0,30,41,67,882,26.8,92.9
31,Union Territories,D & N Haveli and Daman & Diu,200,57,257,0,0,1,0,0,1,0,1,1,2,0,29,31,32,225,6.5,87.5
32,Union Territories,Delhi,56409,9028,65437,11,0,117,26,255,409,7,397,6,403,60,388,851,1260,64177,47.4,98.1
33,Union Territories,Jammu & Kashmir,13009,2003,15012,1,0,74,0,0,75,0,19,0,19,3,533,555,630,14382,3.4,95.8
34,Union Territories,Ladakh,40,9,49,0,0,0,0,0,0,0,14,0,14,0,6,20,20,29,70,59.2
35,Union Territories,Lakshadweep,43,8,51,0,0,0,0,0,0,0,2,0,2,0,1,3,3,48,66.7,94.1
36,Union Territories,Puducherry,523,110,633,0,0,0,0,0,0,0,47,16,63,14,32,109,109,524,57.8,82.8
Total UT(s),Total UT(s),Total UT(s),71813,11561,83374,15,0,192,26,278,511,7,505,24,529,84,1055,1668,2179,81195,31.7,97.4
Total All India,Total All India,Total All India,1582202,291303,1873505,358,161,9733,777,645,11674,390,19074,2477,21551,4006,46673,72230,83904,1789601,29.8,95.5
