Si. No,Category ,State/UT,2018,Note of 2018,2019,Note of 2019,2020,Mid-Year Projected Population (in Lakhs) (2020),Rate of Total Crime against Women (2020),Chargesheeting Rate (2020)
1,State,Andhra Pradesh,16438,NA,17746,NA,17089,262.9,65,91.6
2,State,Arunachal Pradesh,368,NA,317,NA,281,7.4,38,72.5
3,State,Assam,27687,NA,30025,NA,26352,170.7,154.3,63.8
4,State,Bihar,16920,NA,18587,NA,15359,584.9,26.3,79.7
5,State,Chhattisgarh,8587,NA,7689,NA,7385,145.7,50.7,87.7
6,State,Goa,362,NA,329,NA,219,7.7,28.5,76.5
7,State,Gujarat,8329,NA,8799,NA,8028,329.1,24.4,94.6
8,State,Haryana,14326,NA,14683,NA,13000,137.3,94.7,57.9
9,State,Himachal Pradesh,1633,NA,1636,NA,1614,36.3,44.5,78.9
10,State,Jharkhand,7083,NA,8760,NA,7630,185.9,41,78.8
11,State,Karnataka,13514,NA,13828,NA,12680,327.6,38.7,84.7
12,State,Kerala,10461,NA,11462,NA,10139,183.9,55.1,94.1
13,State,Madhya Pradesh,28942,NA,27560,NA,25640,405.3,63.3,83.8
14,State,Maharashtra,35497,NA,37144,NA,31954,593.8,53.8,82
15,State,Manipur,271,NA,266,NA,247,15.6,15.8,56.1
16,State,Meghalaya,571,NA,558,NA,568,16.3,34.9,66
17,State,Mizoram,249,NA,170,NA,172,6,28.8,98.8
18,State,Nagaland,75,NA,43,NA,39,10.5,3.7,67.6
19,State,Odisha,20274,NA,23183,NA,25489,225.7,112.9,82
20,State,Punjab,5302,NA,5886,NA,4838,143.2,33.8,77
21,State,Rajasthan,27866,NA,41550,NA,34535,381.6,90.5,55
22,State,Sikkim,172,NA,125,NA,140,3.2,44.2,91.4
23,State,Tamil Nadu,5822,NA,5934,NA,6630,381.1,17.4,86.5
24,State,Telangana,16027,NA,18394,NA,17791,186.5,95.4,90.1
25,State,Tripura,907,NA,1070,NA,874,19.9,44,82.5
26,State,Uttar Pradesh,59445,NA,59853,NA,49385,1095.9,45.1,77.1
27,State,Uttarakhand,2817,NA,2541,NA,2846,55.2,51.6,79.9
28,State,West Bengal,30394,NA,29859,NA,36439,478.2,76.2,88.2
Total State(s),Total State(s),Total State(s),360339,NA,387997,NA,357363,6397.3,55.9,78.7
29,Union Territories,A & N Islands,147,NA,135,NA,143,1.9,76.1,97.4
30,Union Territories,Chandigarh,442,NA,515,NA,301,5.5,54.8,64.2
31,Union Territories,D & N Haveli and Daman & Diu,54, +,82, +,61,3.7,16.3,96.6
32,Union Territories,Delhi,13640,NA,13395,NA,10093,94.9,106.4,75
33,Union Territories,Jammu & Kashmir,3437,*,3069,*,3405,63.4,53.7,75.1
34,Union Territories,Ladakh,NA,NA,NA,NA,9,1.3,7,81.8
35,Union Territories,Lakshadweep,11,NA,38,NA,15,0.3,45.5,100
36,Union Territories,Puducherry,166,NA,95,NA,113,8.1,14,100
Total UT(s),Total UT(s),Total UT(s),17897,NA,17329,NA,14140,179.1,79,75.3
Total All India,Total All India,Total All India,378236,NA,405326,NA,371503,6576.3,56.5,78.6
