Si. No (Col. 1),Category ,State/UT (Col. 2),Cases Pending Investigation from Previous Year - (Col. 3),Cases Reported during the year - (Col. 4),Cases Reopened for Investigation - (Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - (Col. 6),Cases Not Investigated Under 157_1_b CRPC - (Col. 7),Cases Transferred to Other State or Agency - (Col. 8),Cases Withdrawn by the Govt during Investigation - (Col. 9),Final Report - Cases Ended as FR Non Cognizable - (Col. 10),Final Report - Cases Ended as Final Report False - (Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - (Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - (Col. 13),Final Report - Cases Abated during Investigation - (Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - (Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases frm prv. Year - (Col. 16),Charge Sheets Submitted - Cases Chargesheeted Out of Cases during the year - (Col. 17),Charge Sheets Submitted - Cases Chargesheeted (Col.16+Col.17) - (Col. 18),Total Cases Disposed Off by Police (Col.7+8+ 15+18) - (Col. 19),Cases Quashed at Investigation Stage - (Col. 20),Cases Stayed at Investigation Stage - (Col. 21),Cases Pending Invsgn.at end of the year (Cols.6-9-19-20) - (Col. 22),Chargesheeting Rate (Col.18/19*100) - (Col. 23),Pendency Percentage (Col.22/6*100) - (Col. 24)
1,State,Andhra Pradesh,11400,17089,26,28515,0,18,0,1,742,298,112,34,1187,5838,7268,13106,14311,2,19,14202,91.6,49.8
2,State,Arunachal Pradesh,364,281,0,645,0,0,0,0,1,29,56,0,86,92,135,227,313,0,0,332,72.5,51.5
3,State,Assam,27198,26352,0,53550,0,3,0,53,646,3338,4921,298,9256,5371,10943,16314,25573,0,0,27977,63.8,52.2
4,State,Bihar,13657,15359,0,29016,0,0,0,47,422,1872,146,0,2487,4220,5567,9787,12274,0,0,16742,79.7,57.7
5,State,Chhattisgarh,1971,7385,0,9356,1,0,0,6,701,35,91,45,878,789,5499,6288,7167,0,0,2189,87.7,23.4
6,State,Goa,112,219,0,331,0,0,0,0,1,29,24,0,54,57,119,176,230,0,0,101,76.5,30.5
7,State,Gujarat,937,8028,4,8969,1,2,6,0,13,152,249,14,428,412,7110,7522,7953,48,89,962,94.6,10.7
8,State,Haryana,2893,13000,3,15896,0,0,0,0,5048,4,510,0,5562,1478,6184,7662,13224,0,1,2672,57.9,16.8
9,State,Himachal Pradesh,384,1614,1,1999,0,0,0,0,206,70,33,28,337,278,983,1261,1598,0,0,401,78.9,20.1
10,State,Jharkhand,9157,7630,0,16787,0,0,0,106,113,573,735,8,1535,2484,3220,5704,7239,0,0,9548,78.8,56.9
