Si. No (Col. 1),Category ,State/UT (Col. 2),Cases Reported - (Col. 3),Child Victims of Rape (Below 18 Yrs) - Below 6 Years - (Col. 4),Child Victims of Rape (Below 18 Yrs) - 6 Years & Above - Below 12 Years - (Col. 5),Child Victims of Rape (Below 18 Yrs) - 12 Years & Above - Below 16 Years - (Col. 6),Child Victims of Rape (Below 18 Yrs) - 16 Years & Above - Below 18 Years - (Col. 7),Child Victims of Rape (Below 18 Yrs) - Total Girl / Child Victims - (Col. 8),Women Victims of Rape (Above 18 Years) - 18 Years & Above - Below 30 Years - (Col. 9),Women Victims of Rape (Above 18 Years) - 30 Years & Above - Below 45 Years - (Col. 10),Women Victims of Rape (Above 18 Years) - 45 Years & Above - Below 60 Years - (Col. 11),Women Victims of Rape (Above 18 Years) - 60 Years & Above - (Col. 12),Women Victims of Rape (Above 18 Years) - Total Women / Adult Victims - (Col. 13),Total Victims (Col.8+Col.13) - (Col. 14)
1,State,Andhra Pradesh,1095,27,74,214,272,587,411,87,20,2,520,1107
2,State,Arunachal Pradesh,60,1,6,14,8,29,20,14,0,0,34,63
3,State,Assam,1657,0,0,6,12,18,1006,584,50,0,1640,1658
4,State,Bihar,806,0,0,1,0,1,631,156,18,0,805,806
5,State,Chhattisgarh,1210,0,0,4,9,13,734,398,62,5,1199,1212
6,State,Goa,60,2,5,23,12,42,12,5,2,0,19,61
7,State,Gujarat,486,0,0,0,0,0,350,126,8,2,486,486
8,State,Haryana,1373,0,0,0,0,0,826,494,51,2,1373,1373
9,State,Himachal Pradesh,331,8,20,91,78,197,78,53,3,1,135,332
10,State,Jharkhand,1321,0,0,3,113,116,821,364,25,0,1210,1326
11,State,Karnataka,504,0,0,0,0,0,387,115,5,0,507,507
12,State,Kerala,637,0,0,0,0,0,359,247,31,10,647,647
13,State,Madhya Pradesh,2339,2,7,0,1,10,1587,657,81,6,2331,2341
14,State,Maharashtra,2061,0,0,0,0,0,1420,577,61,7,2065,2065
15,State,Manipur,32,0,0,0,2,2,25,5,0,0,30,32
16,State,Meghalaya,67,0,0,1,0,1,45,18,2,1,66,67
17,State,Mizoram,33,1,0,14,0,15,12,4,1,1,18,33
18,State,Nagaland,4,0,0,1,0,1,2,1,0,0,3,4
19,State,Odisha,1211,0,0,4,13,17,1150,44,0,0,1194,1211
20,State,Punjab,502,7,2,21,32,62,315,110,16,1,442,504
21,State,Rajasthan,5310,21,64,374,820,1279,2617,1216,225,0,4058,5337
22,State,Sikkim,12,0,0,3,1,4,6,1,2,0,9,13
23,State,Tamil Nadu,389,0,0,0,0,0,306,71,5,8,390,390
24,State,Telangana,764,0,0,0,0,0,546,186,29,4,765,765
25,State,Tripura,79,0,0,0,0,0,55,18,4,2,79,79
26,State,Uttar Pradesh,2769,8,30,99,69,206,2033,487,70,0,2590,2796
27,State,Uttarakhand,487,0,0,3,2,5,301,168,13,0,482,487
28,State,West Bengal,1128,0,0,0,0,0,806,290,31,1,1128,1128
Total State(s),Total State(s),Total State(s),26727,77,208,876,1444,2605,16861,6496,815,53,24225,26830
29,Union Territories,A & N Islands,2,0,0,0,0,0,2,0,0,0,2,2
30,Union Territories,Chandigarh,60,3,3,16,24,46,8,6,0,0,14,60
31,Union Territories,D & N Haveli and Daman & Diu,4,0,0,0,0,0,2,2,0,0,4,4
32,Union Territories,Delhi,997,0,0,0,0,0,677,271,44,5,997,997
33,Union Territories,Jammu & Kashmir,243,0,0,1,2,3,180,55,9,0,244,247
34,Union Territories,Ladakh,2,0,0,0,1,1,0,1,0,0,1,2
35,Union Territories,Lakshadweep,3,0,0,0,0,0,2,1,0,0,3,3
36,Union Territories,Puducherry,8,0,0,0,0,0,8,0,0,0,8,8
Total UT(s),Total UT(s),Total UT(s),1319,3,3,17,27,50,879,336,53,5,1273,1323
Total All India,Total All India,Total All India,28046,80,211,893,1471,2655,17740,6832,868,58,25498,28153
Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,Percentage Share of Age-Group of Victims,NA,0.3,0.7,3.2,5.2,9.4,63,24.3,3.1,0.2,90.6,100
