"STATE/UT","Year","Cases Pending Investigation from Previous Year","Cases reported during the year","No. of cases withdrawn by the Govt. during investigation","Cases not investigated or in which investigation was refused","Cases declared false on account of mistake of fact or of law","Cases in which chargesheets were laid","Cases in which charge-sheets were not laid but final report submitted during the year","Total cases (Chargesheeted + Final Report submitted)","Cases pending investigation at the end of the year","Cases pending trial from the previous year","Cases sent for trial during the year","No. of cases withdrawn by the Govt.","Total cases for trial during the year","Cases compounded or withdrawn","Cases in which trials were completed","Cases convicted","Cases acquitted or discharged","Cases pending trial at the end of the year"
"ANDHRA PRADESH","2001",198,420,0,0,15,366,10,376,227,1131,366,0,1497,12,411,87,324,1074
"ARUNACHAL PRADESH","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2001",54,59,0,0,1,28,0,28,84,87,28,0,115,0,21,8,13,94
"BIHAR","2001",494,859,0,0,82,670,107,777,494,2056,670,0,2726,18,399,146,253,2309
"CHHATTISGARH","2001",9,70,0,0,0,66,0,66,13,193,66,0,259,0,46,15,31,213
"GOA","2001",1,2,0,0,1,2,0,2,0,9,2,0,11,0,3,1,2,8
"GUJARAT","2001",7,67,0,0,1,67,0,67,6,440,67,0,507,4,22,1,21,481
"HARYANA","2001",29,285,0,0,25,265,2,267,22,707,265,0,972,9,302,52,250,661
"HIMACHAL PRADESH","2001",3,10,0,0,3,6,0,6,4,24,6,0,30,0,4,0,4,26
"JAMMU & KASHMIR","2001",5,13,0,0,0,16,1,17,1,7,16,0,23,1,7,0,7,15
"JHARKHAND","2001",126,217,0,0,7,237,16,253,83,349,237,0,586,0,176,50,126,410
"KARNATAKA","2001",87,220,0,7,9,216,9,225,66,559,216,13,762,4,122,13,109,636
"KERALA","2001",21,27,0,0,0,27,1,28,20,106,27,0,133,0,14,6,8,119
"MADHYA PRADESH","2001",122,609,2,0,4,592,9,601,124,1665,592,0,2257,2,617,165,452,1638
"MAHARASHTRA","2001",115,308,0,0,0,327,3,330,93,3106,327,0,3433,13,360,34,326,3060
"MANIPUR","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2001",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MIZORAM","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2001",142,294,0,0,5,288,18,306,125,629,288,0,917,0,182,34,148,735
"PUNJAB","2001",95,159,0,0,12,140,7,147,95,325,140,0,465,1,129,50,79,335
"RAJASTHAN","2001",73,376,0,0,94,306,4,310,45,1287,306,0,1593,1,276,106,170,1316
"SIKKIM","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2001",96,191,0,3,4,174,6,180,100,531,174,0,705,6,142,44,98,557
"TRIPURA","2001",25,16,0,0,0,13,2,15,26,27,13,0,40,0,9,2,7,31
"UTTAR PRADESH","2001",418,2211,0,0,135,1784,265,2049,445,7070,1784,0,8854,101,1527,727,800,7226
"UTTARAKHAND","2001",10,56,0,0,2,54,3,57,7,147,54,0,201,8,60,24,36,133
"WEST BENGAL","2001",288,265,0,0,0,279,5,284,269,985,279,0,1264,0,164,25,139,1100
"TOTAL (STATES)","2001",2419,6734,2,10,400,5923,468,6391,2350,21440,5923,13,27350,180,4993,1590,3403,22177
"A & N ISLANDS","2001",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
"CHANDIGARH","2001",0,3,0,0,0,2,0,2,1,7,2,0,9,0,2,2,0,7
"D & N HAVELI","2001",0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,1,0,2
"DAMAN & DIU","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2001",78,113,0,0,0,131,11,142,49,464,131,0,595,0,90,58,32,505
"LAKSHADWEEP","2001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2001",3,1,0,0,0,4,0,4,0,6,4,0,10,0,6,2,4,4
"TOTAL (UTs)","2001",81,117,0,0,0,137,11,148,50,482,137,0,619,0,99,63,36,520
"TOTAL (ALL-INDIA)","2001",2500,6851,2,10,400,6060,479,6539,2400,21922,6060,13,27969,180,5092,1653,3439,22697
"ANDHRA PRADESH","2002",227,449,0,3,22,443,5,448,203,1074,443,0,1517,7,421,61,360,1089
"ARUNACHAL PRADESH","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","2002",84,70,0,0,1,36,6,42,111,94,36,0,130,0,16,6,10,114
"BIHAR","2002",494,927,0,0,76,650,102,752,593,2309,650,0,2959,1,325,80,245,2633
"CHHATTISGARH","2002",13,85,0,1,0,83,3,86,11,213,83,0,296,5,71,22,49,220
"GOA","2002",0,2,0,0,0,0,0,0,2,8,0,0,8,0,0,0,0,8
"GUJARAT","2002",6,62,0,0,0,59,5,64,4,481,59,0,540,3,42,3,39,495
"HARYANA","2002",22,256,0,0,29,227,2,229,20,661,227,0,888,15,269,59,210,604
"HIMACHAL PRADESH","2002",4,6,0,0,1,7,0,7,2,26,7,0,33,0,3,3,0,30
"JAMMU & KASHMIR","2002",1,18,0,0,0,11,0,11,8,15,11,0,26,0,5,1,4,21
"JHARKHAND","2002",79,275,0,0,8,238,14,252,94,455,238,0,693,0,232,78,154,461
"KARNATAKA","2002",66,233,0,19,6,198,6,204,70,636,198,0,834,0,144,13,131,690
"KERALA","2002",20,17,0,0,0,17,1,18,19,119,17,0,136,1,9,2,7,126
"MADHYA PRADESH","2002",124,674,0,0,3,696,4,700,95,1638,696,0,2334,7,594,203,391,1733
"MAHARASHTRA","2002",93,303,0,0,2,312,3,315,79,3060,312,0,3372,11,313,36,277,3048
"MANIPUR","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","2002",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MIZORAM","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","2002",125,248,0,0,5,231,2,233,135,735,231,0,966,0,170,32,138,796
"PUNJAB","2002",95,166,0,0,12,128,15,143,106,335,128,0,463,2,138,70,68,323
"RAJASTHAN","2002",45,399,0,0,87,298,2,300,57,1316,298,0,1614,2,328,139,189,1284
"SIKKIM","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","2002",100,243,0,2,7,244,6,250,84,557,244,0,801,0,213,76,137,588
"TRIPURA","2002",26,16,0,0,0,18,1,19,23,31,18,0,49,0,16,7,9,33
"UTTAR PRADESH","2002",445,1893,0,0,136,1818,184,2002,200,7226,1818,0,9044,65,1831,902,929,7148
"UTTARAKHAND","2002",7,66,0,0,1,53,8,61,11,133,53,0,186,0,49,30,19,137
"WEST BENGAL","2002",269,273,0,0,0,273,35,308,234,1100,273,0,1373,0,270,33,237,1103
"TOTAL (STATES)","2002",2346,6681,0,25,396,6040,404,6444,2162,22222,6040,0,28262,119,5459,1856,3603,22684
"A & N ISLANDS","2002",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
"CHANDIGARH","2002",1,1,0,0,0,0,1,1,1,7,0,0,7,0,4,2,2,3
"D & N HAVELI","2002",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2
"DAMAN & DIU","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2002",49,135,0,0,0,122,5,127,57,505,122,0,627,0,27,12,15,600
"LAKSHADWEEP","2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","2002",0,5,0,0,0,3,0,3,2,4,3,0,7,0,2,0,2,5
"TOTAL (UTs)","2002",50,141,0,0,0,125,6,131,60,520,125,0,645,0,33,14,19,612
